part_id,part_name,material,weight_kg,designer,created_date
P18571,Bearing Housing,Stainless Steel,19.49,Meena,2024-07-14
P6359,Differential Gear,Magnesium,26.84,Meena,2024-07-21
P3871,Steering Rack,Titanium,16.91,Meena,2024-07-25
P7186,Flywheel,Magnesium,47.31,Lakshmi,2024-07-23
P9264,Axle Rod,Aluminum,4.57,Priya,2024-07-25
P20443,Ball Joint,Carbon Steel,26.6,Suresh,2024-07-13
P18211,Tie Rod End,Steel,37.94,Rahul,2024-07-03
P10541,Differential Gear,Stainless Steel,6.43,Meena,2024-07-09
P12568,Steering Rack,Aluminum,12.43,Amit,2024-07-07
P8750,Torque Rod,Steel,25.27,Priya,2024-07-25
P15687,Flywheel,Iron,38.07,Priya,2024-07-29
P20589,Piston Ring,Aluminum,28.92,Deepak,2024-07-29
P4193,Tie Rod End,Copper Alloy,12.05,Arun,2024-07-22
P16431,Tie Rod End,Magnesium,33.4,Suresh,2024-07-11
P20616,Rocker Arm,Stainless Steel,48.17,Ankit,2024-07-27
P15495,Timing Belt,Magnesium,7.52,Suresh,2024-07-22
P18014,Piston Ring,Titanium,15.29,Arun,2024-07-01
P17608,Crankshaft,Stainless Steel,18.88,Kavitha,2024-07-16
P5609,Camshaft,Aluminum,4.25,Arun,2024-07-21
P6387,Gear Shaft,Copper Alloy,36.49,Arun,2024-07-07
P3334,Tie Rod End,Titanium,34.25,Kavitha,2024-07-23
P1626,Ball Joint,Iron,16.98,Suresh,2024-07-16
P4415,Knuckle,Titanium,11.15,Suresh,2024-07-24
P13304,Differential Gear,Steel,0.52,Kavitha,2024-07-20
P19430,Ball Joint,Brass,7.04,Ankit,2024-07-09
P2976,Valve Spring,Iron,24.33,Amit,2024-07-12
P8011,Timing Belt,Aluminum,3.17,Priya,2024-07-31
P18469,Rocker Arm,Steel,3.92,Amit,2024-07-21
P17328,Rocker Arm,Magnesium,16.18,Ravi,2024-07-05
P1742,Tie Rod End,Magnesium,27.23,Deepak,2024-07-24
P9941,Differential Gear,Aluminum,23.79,Ankit,2024-07-18
P19958,Knuckle,Carbon Steel,3.93,Kavitha,2024-07-18
P6172,Axle Rod,Brass,19.09,Ankit,2024-07-11
P2251,Valve Spring,Carbon Steel,7.04,Kavitha,2024-07-06
P19001,Clutch Plate,Magnesium,38.05,Neha,2024-07-28
P15994,Steering Rack,Steel,44.45,Kavitha,2024-07-25
P19418,Suspension Arm,Copper Alloy,27.23,Lakshmi,2024-07-13
P11153,Valve Spring,Magnesium,7.31,Neha,2024-07-18
P9125,Crankshaft,Aluminum,31.22,Neha,2024-07-16
P2232,Rocker Arm,Magnesium,42.21,Amit,2024-07-07
P12331,Piston Ring,Aluminum,24.02,Meena,2024-07-08
P3835,Axle Rod,Steel,40.3,Deepak,2024-07-16
P11951,Ball Joint,Stainless Steel,34.41,Ankit,2024-07-11
P14706,Differential Gear,Copper Alloy,18.51,Arun,2024-07-22
P1128,Brake Disc,Steel,42.25,Deepak,2024-07-20
P20609,Piston Ring,Magnesium,44.16,Deepak,2024-07-18
P4825,Clutch Plate,Stainless Steel,23.45,Lakshmi,2024-07-08
P13035,Brake Disc,Stainless Steel,14.1,Arun,2024-07-07
P1287,Steering Rack,Brass,23.59,Ankit,2024-07-01
P18351,Timing Belt,Magnesium,20.3,Lakshmi,2024-07-05
P2544,Rocker Arm,Brass,31.8,Meena,2024-07-31
P12520,Piston Ring,Stainless Steel,10.98,Ankit,2024-07-25
P18776,Crankshaft,Stainless Steel,12.96,Priya,2024-07-09
P2518,Clutch Plate,Cast Iron,22.41,Meena,2024-07-20
P6967,Timing Belt,Cast Iron,3.32,Deepak,2024-07-19
P8874,Knuckle,Stainless Steel,28.42,Ravi,2024-07-29
P19919,Drive Shaft,Iron,48.48,Deepak,2024-07-02
P1986,Steering Rack,Titanium,42.18,Deepak,2024-07-01
P18968,Drive Shaft,Carbon Steel,31.3,Kavitha,2024-07-01
P2805,Knuckle,Copper Alloy,46.26,Deepak,2024-07-27
P1928,Torque Rod,Brass,17.93,Ankit,2024-07-15
P1879,Steering Rack,Iron,6.0,Priya,2024-07-08
P18653,Torque Rod,Aluminum,42.59,Amit,2024-07-01
P15124,Axle Rod,Stainless Steel,5.7,Arun,2024-07-23
P5093,Tie Rod End,Steel,48.79,Amit,2024-07-25
P10686,Drive Shaft,Stainless Steel,24.09,Rahul,2024-07-28
P6875,Drive Shaft,Carbon Steel,9.46,Rahul,2024-07-23
P4042,Differential Gear,Stainless Steel,46.8,Lakshmi,2024-07-18
P4619,Camshaft,Cast Iron,24.19,Meena,2024-07-19
P13594,Valve Spring,Copper Alloy,30.41,Kavitha,2024-07-13
P14751,Differential Gear,Iron,28.49,Suresh,2024-07-09
P15403,Suspension Arm,Cast Iron,27.08,Suresh,2024-07-21
P8244,Suspension Arm,Magnesium,14.65,Rahul,2024-07-11
P16236,Brake Disc,Carbon Steel,46.59,Ravi,2024-07-14
P7204,Gear Shaft,Brass,49.36,Deepak,2024-07-22
P19686,Gear Shaft,Magnesium,27.3,Ankit,2024-07-20
P16743,Clutch Plate,Cast Iron,37.1,Ravi,2024-07-06
P8008,Axle Rod,Brass,33.8,Kavitha,2024-07-27
P3820,Knuckle,Brass,14.15,Deepak,2024-07-01
P7364,Flywheel,Titanium,18.95,Suresh,2024-07-14
P20977,Timing Belt,Cast Iron,23.8,Suresh,2024-07-23
P11460,Flywheel,Magnesium,12.53,Neha,2024-07-17
P4513,Camshaft,Iron,15.38,Priya,2024-07-27
P14827,Valve Spring,Titanium,20.87,Ankit,2024-07-01
P16848,Axle Rod,Titanium,3.82,Ravi,2024-07-04
P2076,Torque Rod,Cast Iron,42.01,Priya,2024-07-17
P18412,Valve Spring,Iron,34.16,Arun,2024-07-19
P6080,Rocker Arm,Iron,49.78,Neha,2024-07-03
P18229,Clutch Plate,Copper Alloy,47.53,Ankit,2024-07-07
P4752,Differential Gear,Cast Iron,4.22,Ravi,2024-07-16
P17245,Valve Spring,Steel,21.21,Ankit,2024-07-31
P6545,Drive Shaft,Steel,19.67,Rahul,2024-07-08
P14509,Steering Rack,Copper Alloy,15.19,Suresh,2024-07-23
P19020,Bearing Housing,Magnesium,33.48,Ravi,2024-07-18
P11872,Knuckle,Iron,29.72,Ankit,2024-07-26
P13479,Timing Belt,Stainless Steel,40.1,Amit,2024-07-20
P5175,Rocker Arm,Cast Iron,43.34,Deepak,2024-07-30
P18905,Torque Rod,Copper Alloy,2.36,Suresh,2024-07-18
P14744,Gear Shaft,Titanium,26.01,Neha,2024-07-19
P17410,Drive Shaft,Steel,5.26,Ankit,2024-07-02
P9796,Gear Shaft,Cast Iron,16.12,Priya,2024-07-15
P13694,Camshaft,Copper Alloy,27.15,Neha,2024-07-06
P17864,Rocker Arm,Brass,40.94,Arun,2024-07-17
P11335,Clutch Plate,Magnesium,33.82,Suresh,2024-07-26
P1384,Flywheel,Copper Alloy,26.12,Suresh,2024-07-31
P3654,Timing Belt,Brass,35.62,Neha,2024-07-11
P19449,Flywheel,Magnesium,32.56,Neha,2024-07-17
P8949,Camshaft,Stainless Steel,41.24,Suresh,2024-07-25
P14052,Drive Shaft,Stainless Steel,26.8,Amit,2024-07-17
P9985,Clutch Plate,Stainless Steel,33.21,Meena,2024-07-10
P16533,Clutch Plate,Carbon Steel,45.48,Ravi,2024-07-15
P17955,Tie Rod End,Magnesium,45.79,Priya,2024-07-19
P13656,Torque Rod,Cast Iron,22.74,Ravi,2024-07-02
P9751,Knuckle,Brass,44.4,Suresh,2024-07-07
P20615,Steering Rack,Magnesium,15.55,Meena,2024-07-02
P18704,Torque Rod,Iron,3.36,Deepak,2024-07-13
P16506,Knuckle,Copper Alloy,9.97,Kavitha,2024-07-26
P6483,Valve Spring,Carbon Steel,10.09,Kavitha,2024-07-07
P8637,Axle Rod,Magnesium,32.23,Kavitha,2024-07-04
P10384,Bearing Housing,Stainless Steel,32.35,Neha,2024-07-30
P7967,Axle Rod,Magnesium,0.35,Neha,2024-07-01
P2212,Steering Rack,Cast Iron,9.61,Rahul,2024-07-09
P18266,Differential Gear,Cast Iron,40.18,Ankit,2024-07-25
P13373,Differential Gear,Carbon Steel,31.16,Suresh,2024-07-24
P19086,Suspension Arm,Titanium,25.06,Priya,2024-07-29
P7965,Drive Shaft,Brass,11.63,Meena,2024-07-29
P18461,Flywheel,Cast Iron,25.96,Suresh,2024-07-15
P13668,Tie Rod End,Carbon Steel,31.16,Deepak,2024-07-31
P14426,Camshaft,Titanium,0.36,Ravi,2024-07-15
P2655,Ball Joint,Stainless Steel,6.08,Ravi,2024-07-06
P2450,Rocker Arm,Magnesium,40.11,Kavitha,2024-07-27
P3934,Ball Joint,Aluminum,45.52,Deepak,2024-07-16
P15012,Gear Shaft,Stainless Steel,2.39,Meena,2024-07-02
P11627,Axle Rod,Stainless Steel,22.94,Lakshmi,2024-07-31
P7840,Camshaft,Carbon Steel,11.93,Neha,2024-07-02
P13670,Rocker Arm,Iron,9.93,Meena,2024-07-30
P5578,Piston Ring,Steel,8.23,Ravi,2024-07-05
P11705,Differential Gear,Copper Alloy,48.76,Ankit,2024-07-19
