part_id,part_name,material,weight_kg,designer,created_date
P13986,Piston Ring,Iron,12.71,Arun,2024-09-04
P17566,Torque Rod,Carbon Steel,26.37,Amit,2024-09-21
P1585,Timing Belt,Titanium,20.99,Meena,2024-09-06
P14236,Steering Rack,Aluminum,39.21,Suresh,2024-09-28
P11879,Axle Rod,Aluminum,32.08,Kavitha,2024-09-04
P11465,Valve Spring,Copper Alloy,35.39,Lakshmi,2024-09-06
P7376,Camshaft,Iron,28.43,Lakshmi,2024-09-07
P18883,Camshaft,Aluminum,37.69,Deepak,2024-09-12
P13438,Torque Rod,Brass,4.56,Amit,2024-09-12
P17092,Differential Gear,Carbon Steel,35.17,Ankit,2024-09-15
P10138,Torque Rod,Aluminum,15.41,Suresh,2024-09-13
P18987,Bearing Housing,Brass,0.5,Suresh,2024-09-06
P9969,Knuckle,Carbon Steel,6.34,Meena,2024-09-24
P1334,Tie Rod End,Brass,19.79,Neha,2024-09-03
P18877,Rocker Arm,Stainless Steel,2.3,Suresh,2024-09-27
P3719,Clutch Plate,Copper Alloy,31.65,Ankit,2024-09-07
P20568,Drive Shaft,Aluminum,46.1,Rahul,2024-09-03
P1963,Brake Disc,Brass,32.65,Priya,2024-09-18
P2008,Knuckle,Titanium,11.16,Deepak,2024-09-13
P4983,Suspension Arm,Copper Alloy,46.3,Meena,2024-09-28
P17473,Piston Ring,Steel,46.85,Amit,2024-09-04
P17606,Tie Rod End,Cast Iron,32.22,Ankit,2024-09-28
P9153,Rocker Arm,Brass,20.88,Ravi,2024-09-03
P5782,Steering Rack,Copper Alloy,25.47,Kavitha,2024-09-07
P7384,Flywheel,Iron,46.87,Meena,2024-09-15
P4144,Clutch Plate,Titanium,38.18,Arun,2024-09-05
P7995,Crankshaft,Carbon Steel,30.82,Suresh,2024-09-23
P3644,Clutch Plate,Copper Alloy,45.36,Rahul,2024-09-07
P15124,Steering Rack,Stainless Steel,2.52,Ravi,2024-09-08
P4294,Brake Disc,Cast Iron,11.53,Rahul,2024-09-29
P14691,Valve Spring,Copper Alloy,11.94,Lakshmi,2024-09-06
P6874,Steering Rack,Titanium,12.14,Priya,2024-09-10
P3848,Tie Rod End,Cast Iron,20.96,Amit,2024-09-02
P5414,Timing Belt,Cast Iron,13.69,Ankit,2024-09-06
P3076,Valve Spring,Copper Alloy,40.27,Ankit,2024-09-20
P20739,Drive Shaft,Steel,24.87,Ravi,2024-09-23
P8931,Rocker Arm,Magnesium,13.12,Amit,2024-09-05
P19814,Torque Rod,Brass,41.87,Priya,2024-09-01
P10501,Timing Belt,Stainless Steel,18.7,Arun,2024-09-04
P9486,Piston Ring,Titanium,35.54,Kavitha,2024-09-17
P1127,Drive Shaft,Stainless Steel,49.4,Deepak,2024-09-11
P14790,Differential Gear,Steel,26.56,Rahul,2024-09-05
P1101,Piston Ring,Titanium,8.58,Kavitha,2024-09-20
P9490,Brake Disc,Cast Iron,37.25,Ravi,2024-09-14
P19241,Knuckle,Titanium,24.19,Suresh,2024-09-14
P19256,Axle Rod,Stainless Steel,33.78,Ravi,2024-09-12
P2992,Suspension Arm,Steel,8.78,Ravi,2024-09-09
P12180,Torque Rod,Cast Iron,31.71,Arun,2024-09-19
P11590,Piston Ring,Stainless Steel,17.27,Kavitha,2024-09-10
P9865,Knuckle,Titanium,11.37,Priya,2024-09-27
P3576,Piston Ring,Titanium,30.3,Meena,2024-09-10
P16502,Gear Shaft,Aluminum,35.79,Deepak,2024-09-23
P19808,Gear Shaft,Brass,21.71,Ravi,2024-09-07
P14704,Camshaft,Magnesium,17.13,Arun,2024-09-02
P11057,Clutch Plate,Cast Iron,31.81,Ankit,2024-09-23
P18779,Valve Spring,Magnesium,15.1,Neha,2024-09-19
P13776,Axle Rod,Stainless Steel,11.57,Ankit,2024-09-04
P6703,Brake Disc,Cast Iron,3.01,Neha,2024-09-12
P17359,Piston Ring,Steel,30.82,Rahul,2024-09-20
P5563,Torque Rod,Carbon Steel,8.8,Suresh,2024-09-30
P7623,Camshaft,Titanium,6.58,Suresh,2024-09-18
P6190,Bearing Housing,Cast Iron,28.75,Amit,2024-09-22
P19385,Camshaft,Aluminum,2.25,Priya,2024-09-14
P11764,Torque Rod,Cast Iron,25.5,Priya,2024-09-12
P8058,Piston Ring,Steel,27.38,Kavitha,2024-09-11
P8410,Steering Rack,Brass,1.0,Suresh,2024-09-26
P9773,Axle Rod,Brass,29.57,Deepak,2024-09-07
P18167,Steering Rack,Magnesium,47.23,Meena,2024-09-18
P2030,Valve Spring,Iron,15.35,Priya,2024-09-22
P4803,Flywheel,Copper Alloy,31.82,Neha,2024-09-17
P17124,Tie Rod End,Brass,38.54,Ravi,2024-09-03
P4155,Timing Belt,Stainless Steel,33.52,Lakshmi,2024-09-25
P9475,Clutch Plate,Aluminum,3.38,Kavitha,2024-09-16
P17296,Knuckle,Iron,11.7,Ravi,2024-09-29
P13963,Knuckle,Steel,6.52,Rahul,2024-09-05
P20296,Torque Rod,Magnesium,9.87,Kavitha,2024-09-02
P14086,Clutch Plate,Magnesium,26.83,Ravi,2024-09-22
P12409,Steering Rack,Stainless Steel,32.53,Lakshmi,2024-09-09
P3540,Steering Rack,Iron,27.66,Amit,2024-09-08
P6578,Crankshaft,Aluminum,39.24,Meena,2024-09-22
P13208,Rocker Arm,Titanium,16.53,Amit,2024-09-23
P18560,Piston Ring,Copper Alloy,46.85,Lakshmi,2024-09-09
P6610,Timing Belt,Brass,9.41,Ravi,2024-09-11
P4888,Suspension Arm,Cast Iron,23.65,Kavitha,2024-09-21
P4279,Rocker Arm,Cast Iron,33.97,Deepak,2024-09-25
P13361,Brake Disc,Cast Iron,41.61,Neha,2024-09-14
P17064,Crankshaft,Magnesium,10.1,Suresh,2024-09-11
P3431,Tie Rod End,Stainless Steel,12.17,Neha,2024-09-19
P16720,Axle Rod,Cast Iron,6.6,Suresh,2024-09-19
P15692,Camshaft,Magnesium,14.97,Lakshmi,2024-09-27
P4760,Ball Joint,Copper Alloy,40.4,Ankit,2024-09-24
P6694,Drive Shaft,Steel,9.58,Lakshmi,2024-09-11
P2405,Crankshaft,Magnesium,14.65,Priya,2024-09-21
P19408,Differential Gear,Iron,35.2,Meena,2024-09-02
P18065,Piston Ring,Cast Iron,23.4,Kavitha,2024-09-28
P1756,Steering Rack,Aluminum,29.33,Kavitha,2024-09-03
P6396,Valve Spring,Steel,11.84,Amit,2024-09-23
P16668,Piston Ring,Steel,42.04,Priya,2024-09-26
P15336,Brake Disc,Aluminum,20.37,Meena,2024-09-09
P20628,Piston Ring,Brass,23.63,Suresh,2024-09-28
P17977,Gear Shaft,Iron,39.77,Rahul,2024-09-10
P18637,Gear Shaft,Cast Iron,8.53,Ankit,2024-09-12
P10744,Timing Belt,Iron,29.19,Rahul,2024-09-05
P20248,Torque Rod,Carbon Steel,31.58,Rahul,2024-09-24
P9171,Camshaft,Iron,29.3,Priya,2024-09-08
P16211,Rocker Arm,Iron,48.59,Rahul,2024-09-23
P3835,Timing Belt,Cast Iron,24.01,Deepak,2024-09-08
P15408,Knuckle,Stainless Steel,15.55,Kavitha,2024-09-18
P13079,Flywheel,Magnesium,2.31,Meena,2024-09-30
P15895,Ball Joint,Carbon Steel,31.72,Lakshmi,2024-09-09
P17053,Axle Rod,Stainless Steel,39.82,Priya,2024-09-17
P10492,Crankshaft,Stainless Steel,48.32,Amit,2024-09-09
P11919,Rocker Arm,Stainless Steel,32.93,Ravi,2024-09-18
P20831,Steering Rack,Brass,22.55,Meena,2024-09-16
